1,1,0.0040
1,2,0.0047
1,3,0.0055
1,4,0.0063
1,5,0.0072
1,6,0.0081
1,7,0.0091
1,8,0.0101
1,9,0.0112
1,10,0.0123
1,11,0.0135
1,12,0.0147
1,13,0.0160
1,14,0.0173
1,15,0.0196
1,16,0.0210
1,17,0.0225
1,18,0.0241
1,19,0.0257
1,20,0.0290
2,1,0.0060
2,2,0.0071
2,3,0.0083
2,4,0.0095
2,5,0.0108
2,6,0.0122
2,7,0.0137
2,8,0.0152
2,9,0.0168
2,10,0.0185
2,11,0.0203
2,12,0.0221
2,13,0.0240
2,14,0.0260
2,15,0.0293
2,16,0.0315
2,17,0.0338
2,18,0.0361
2,19,0.0385
2,20,0.0435
3,1,0.0080
3,2,0.0095
3,3,0.0110
3,4,0.0127
3,5,0.0144
3,6,0.0163
3,7,0.0182
3,8,0.0203
3,9,0.0224
3,10,0.0247
3,11,0.0270
3,12,0.0295
3,13,0.0320
3,14,0.0347
3,15,0.0391
3,16,0.0420
3,17,0.0450
3,18,0.0481
3,19,0.0513
3,20,0.0580
