1,1,0.0020
1,2,0.0023
1,3,0.0027
1,4,0.0030
1,5,0.0034
1,6,0.0037
1,7,0.0041
1,8,0.0045
1,9,0.0050
1,10,0.0054
1,11,0.0059
1,12,0.0063
1,13,0.0068
1,14,0.0073
1,15,0.0083
1,16,0.0089
1,17,0.0094
1,18,0.0100
1,19,0.0106
1,20,0.0120
2,1,0.0040
2,2,0.0046
2,3,0.0053
2,4,0.0060
2,5,0.0067
2,6,0.0075
2,7,0.0083
2,8,0.0091
2,9,0.0099
2,10,0.0108
2,11,0.0117
2,12,0.0126
2,13,0.0136
2,14,0.0146
2,15,0.0167
2,16,0.0178
2,17,0.0189
2,18,0.0200
2,19,0.0212
2,20,0.0239
3,1,0.0060
3,2,0.0069
3,3,0.0079
3,4,0.0090
3,5,0.0105
3,6,0.0114
3,7,0.0124
3,8,0.0136
3,9,0.0148
3,10,0.0162
3,11,0.0175
3,12,0.0189
3,13,0.0204
3,14,0.0219
3,15,0.0250
3,16,0.0267
3,17,0.0283
3,18,0.0300
3,19,0.0318
3,20,0.0358
