-1,-1
-2,-1
-3,-1
-4,-1
-5,-2
-6,-2
-7,-2
-8,-2
-9,-2
-10,3
-11,-3
-12,-3
-13,-3
-14,-3
-15,-4
-16,-4
-17,-4
-18,-4
-19,-4
-20,-5
-21,-5
-22,-5
-23,-5
-24,-5
-25,-6
-26,-6
-27,-6
-28,-6
-29,-6
-30,-7
-31,-7
-32,-7
-33,-7
-34,-7
-35,-8
-36,-8
-37,-8
-38,-8
-39,-8
-40,-9
-41,-9
-42,-9
-43,-9
-44,-9
-45,-10
-46,-10
-47,-10
-48,-10
-49,-10
-50,-11
-51,-11
-52,-12
-53,-12
-54,-13
-55,-13
-56,-14
-57,-14
-58,-15
-59,-15
-60,-16
-61,-16
-62,-17
-63,-17
-64,-18
-65,-18
-66,-19
-67,-19
-68,-20
-69,-20
-70,-20
-71,-20
-72,-20
-73,-20
-74,-20
-75,-20
-76,-20
-77,-20
-78,-20
-79,-20
-80,-20
-81,-20
-82,-20
-83,-20
-84,-20
-85,-20
-86,-20
-87,-20
-88,-20
-89,-20
-90,-20
-91,-20
-92,-20
-93,-20
-94,-20
-95,-20
-96,-20
-97,-20
-98,-20
-99,-20
-100,-20
0,0
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,4
16,4
17,4
18,4
19,4
20,5
21,5
22,5
23,5
24,5
25,6
26,6
27,6
28,6
29,6
30,7
31,7
32,7
33,7
34,7
35,8
36,8
37,8
38,8
39,8
40,9
41,9
42,9
43,9
44,9
45,10
46,10
47,10
48,10
49,10
50,11
51,11
52,12
53,12
54,13
55,13
56,14
57,14
58,15
59,15
60,16
61,16
62,17
63,17
64,18
65,18
66,19
67,19
68,20
69,20
70,20
71,20
72,20
73,20
74,20
75,20
76,20
77,20
78,20
79,20
80,20
81,20
82,20
83,20
84,20
85,20
86,20
87,20
88,20
89,20
90,20
91,20
92,20
93,20
94,20
95,20
96,20
97,20
98,20
99,20
100,20
