1,1,0.0040
1,2,0.0046
1,3,0.0053
1,4,0.0059
1,5,0.0066
1,6,0.0073
1,7,0.0081
1,8,0.0088
1,9,0.0096
1,10,0.0104
1,11,0.0113
1,12,0.0121
1,13,0.0130
1,14,0.0139
1,15,0.0155
1,16,0.0165
1,17,0.0175
1,18,0.0185
1,19,0.0196
1,20,0.0218
2,1,0.0060
2,2,0.0069
2,3,0.0079
2,4,0.0089
2,5,0.0099
2,6,0.0110
2,7,0.0121
2,8,0.0132
2,9,0.0144
2,10,0.0156
2,11,0.0169
2,12,0.0182
2,13,0.0195
2,14,0.0209
2,15,0.0233
2,16,0.0248
2,17,0.0263
2,18,0.0278
2,19,0.0294
2,20,0.0326
3,1,0.0060
3,2,0.0069
3,3,0.0079
3,4,0.0089
3,5,0.0099
3,6,0.0110
3,7,0.0121
3,8,0.0132
3,9,0.0144
3,10,0.0156
3,11,0.0169
3,12,0.0182
3,13,0.0195
3,14,0.0209
3,15,0.0233
3,16,0.0248
3,17,0.0263
3,18,0.0278
3,19,0.0294
3,20,0.0326
