0,Gedio,60669,54549,61675,54262,0
0,Wagamama,53219,47985,53122,47925,1
0,Kimberly,60022,47815,47508,42909,1
0,Kozuki,45157,46004,61386,45595,0
0,KyuTsu,51635,45728,53972,45386,1
0,Lazt,49316,48418,49460,48803,0
0,Mably,44680,43542,56527,43752,0
0,Maple,43777,43971,57006,42748,0
0,Miko,49668,43959,50262,42875,1
0,Narx,54509,44634,45066,42236,0
0,Nekotine,48633,43414,49827,41995,0
0,Roji,46917,41598,52398,42046,0
0,Sky,47541,42210,51037,42156,0
0,Stefbaba,47192,43644,46800,40936,0
0,Yal,45859,43477,46907,41550,1
